Nombre,Precio,Tipo,Eficiencia,Vatios,Modulo
Corsair AX850,319.99,0,1,850,0
Thermaltake Toughpower Grand RGB,124.98,0,1,650,0
Antec NE850G M ATX3.0,139.99,0,1,850,0
NOX Hummer,83.87,0,0,650,2
Silverstone SFX,158.09,3,2,700,0
SeaSonic FOCUS,79.99,0,1,550,2
Thermaltake Toughpower GX1,84.47,0,1,600,2
Silverstone Strider Platinum S,269.83,0,2,1200,0
Silverstone Essential,92.99,0,1,750,2
NZXT C (2019),149.98,0,1,850,0
Thermaltake Smart Pro RGB,124.23,0,0,750,0
Thermaltake Toughpower PF3-L,179.99,0,2,1050,0
Apex SL-275TFX,45.95,4,6,275,3
Cougar POLAR,161.49,0,2,1050,0
Corsair TX850,499.97,0,3,850,3
Antec NE1300G M ATX3.0,184.99,0,1,1300,0
Fractal Design Ion+ 2 Platinum,194.49,0,2,560,0
Thermaltake TOUGHPOWER PF1 ARGB,396.96,0,2,1050,0
SeaSonic S12III,129.0,0,0,550,3
SeaSonic S12II,247.77,0,0,520,3
Enermax Revolution D.F.,109.99,0,1,750,0
SeaSonic G,139.01,0,1,450,2
Gigabyte UD1000GM PG5,178.79,0,1,1000,0
Thermaltake Smart Pro RGB,119.83,0,0,850,0
Corsair RM850x SHIFT,169.99,0,1,850,1
FSP Group FSP300-60LG,148.02,2,0,300,3
Silverstone SX650-G,137.99,3,1,650,0
SeaSonic VERTEX GX-750,131.82,0,1,750,0
SeaSonic PRIME,263.79,0,1,1000,0
Silverstone DA850R-GMA,258.29,0,1,850,0
"FSP Group Hydro PTM X PRO,Gen5",251.03,0,2,1200,0
ADATA XPG CYBERCORE,209.99,0,2,1300,0
Antec Signature Platinum,284.99,0,2,1300,0
Deepcool DQ-M-V2L,158.38,0,1,850,0
Corsair HX750,273.99,0,1,750,2
Corsair RM750x SHIFT,129.99,0,1,750,1
SeaSonic PRIME PX,307.19,0,2,850,0
Super Flower Leadex V Platinum Pro,189.99,0,2,850,0
Silverstone Strider Titanium,338.99,0,5,1100,0
ADATA XPG CYBERCORE,189.99,0,2,1000,0
Cooler Master MWE,90.81,0,0,600,3
Azza ARGB,64.98,0,0,650,3
FSP Group Hydro PTM PRO,149.99,0,2,750,0
be quiet! Pure Power 11 FM 850,299.89,0,1,850,0
FSP Group Dagger Pro,149.99,3,1,750,0
Chieftec ATMOS,162.88,0,1,750,0
Thermaltake Smart SE,110.0,0,6,530,2
NOX Hummer GD,108.22,0,1,750,3
Deepcool PQ650M,128.98,0,1,650,0
Logisys PS550E12BK,39.99,0,6,550,3
Antec EARTHWATTS GOLD PRO 750,149.99,0,1,750,2
Cooler Master XG650 Plus,96.91,0,2,650,0
Sparkle FSP300-60ATV,59.99,0,6,300,3
Super Flower Leadex Platinum,279.99,0,2,1600,0
Silverstone DA850R-GMA,243.34,0,1,850,0
be quiet! Straight Power 11 450W,235.0,0,1,450,0
SeaSonic VERTEX PX-750,199.99,0,2,750,0
SHARKOON SilentStorm Cool Zero 850,259.42,0,1,850,0
Cooler Master MWE Bronze 550,143.91,0,0,550,3
Thermaltake Smart SE,118.32,0,6,630,2
Fractal Design Ion Gold,163.08,0,1,650,0
Corsair RM550,224.99,0,1,550,0
"FSP Group Hydro PTM PRO,Gen5",265.99,0,2,1200,0
Silverstone Strider Platinum,164.99,0,2,850,0
SeaSonic FOCUS Gold,139.34,0,1,650,2
Thermaltake Smart BX1 RGB 750,104.94,0,0,750,3
Super Flower LEADEX VII XG,184.99,0,1,1000,0
SeaSonic PRIME Titanium,599.0,0,5,1000,0
Corsair CS450M,237.47,0,1,450,2
EVGA 700 B1,217.49,0,0,700,3
Cougar GEX,124.34,0,1,650,0
Antec High Current Gamer,155.31,0,0,620,2
Super Flower LEADEX VII Platinum PRO,269.99,0,2,1200,0
SeaSonic PRIME Ultra Platinum 750,179.99,0,2,750,0
Silverstone Strider Platinum,132.99,0,2,650,0
Cougar GEX,209.4,0,1,1050,0
Super Flower Leadex VI Platinum PRO,156.98,0,2,1000,0
CoolMax V-500,32.77,0,6,500,3
Super Flower LEADEX VII Platinum PRO,229.99,0,2,1000,0
SeaSonic PRIME,230.99,0,1,750,0
Corsair HX1000,479.99,0,3,1000,2
Fractal Design Anode Bronze,135.36,0,0,750,2
Corsair TX850M,499.98,0,0,850,2
Enermax Revolution D.F. X,129.99,0,1,1050,0
Thermaltake Toughpower GF1 ARGB,119.83,0,1,650,0
Deepcool PX1000P,229.99,0,2,1000,0
Cooler Master V1200,306.89,0,2,1200,0
Corsair HX750,499.97,0,1,750,2
Enermax Revolution D.F. X,144.99,0,1,1200,0
SeaSonic FOCUS Plus Platinum,164.39,0,2,650,0
Silverstone DA750R-GMA,213.06,0,1,750,0
KOLINK Regulator,169.99,0,1,1200,0
Thermaltake Toughpower PF3-L,172.82,0,2,850,0
Thermaltake Toughpower GF2 ARGB,142.99,0,1,750,0
Chieftec ATMOS,171.09,0,1,850,0
BitFenix BFG GOLD ATX3.0,99.9,0,1,850,0
FSP Group Hydro PTM PRO,179.99,0,2,1000,0
Thermaltake Toughpower PF1 - TT Premium Edition,157.48,0,2,650,0
Corsair GS700,299.98,0,0,700,3
KOLINK Regulator,149.99,0,1,1000,0
be quiet! TFX Power 3 300,125.28,4,1,300,3
Silverstone Essential,98.99,0,1,750,3
Silverstone Strider Platinum,132.99,0,2,750,0
Silverstone ST75F-GS-V3,112.2,0,1,750,0
Cooler Master V1300 Platinum,399.9,0,2,1300,0
Silverstone Strider,286.99,0,4,1500,3
Phanteks Revolt Pro,380.0,0,1,850,0
Silverstone Essential,119.99,0,1,650,3
Corsair TX650M,299.98,0,0,650,2
Silverstone Strider,99.99,0,0,700,0
Corsair TX550M,216.57,0,0,550,2
Athena Power Apollo,49.99,3,6,300,3
Corsair VS500,269.0,0,3,500,3
Silverstone SX300-B,79.45,3,0,300,3
Corsair TX850 V2,599.98,0,0,850,3
Thermaltake Smart BX1 RGB 550,68.79,0,0,550,3
Thermaltake Smart BX1 RGB 650,93.36,0,0,650,3
Xilence XP750MR9,131.88,0,1,750,2
ADATA XPG Core Reactor II,159.99,0,1,1200,0
Silverstone Essential,88.98,0,1,550,2
Thermaltake Toughpower GF1 - TT Premium,210.06,0,1,1200,0
Gigabyte UD-GM PG5,164.9,0,1,850,0
Xilence XP550R9,134.0,0,1,550,3
Thermaltake Toughpower GF1 ARGB,142.51,0,1,750,0
Thermaltake Toughpower GF2 ARGB,126.35,0,1,650,0
Enermax Platimax D.F.,149.99,0,2,1050,0
Cougar COUGAR-GX1050,129.99,0,1,1050,2
Corsair VX550,246.28,0,3,550,3
Xilence XP1050MR9,209.69,0,1,1050,0
Silverstone TX300,81.51,4,0,300,3
FSP Group Hydro PTM PRO,179.99,0,2,850,0
Corsair VS400,369.0,0,3,400,3
SHARKOON SilentStorm,96.59,3,0,450,3
SeaSonic PRIME Ultra Gold 1000,379.99,0,1,1000,0
Solid Gear SDGR-750E,63.81,0,6,750,3
Athena Power AP-MFATX40P8,118.2,1,0,400,3
SeaSonic SS-300TFX Bronze,62.92,4,0,300,3
Super Flower Leadex V Pro,249.99,0,1,1000,0
SeaSonic SSP-300TBS,71.67,4,0,300,3
Antec Signature Platinum,206.53,0,2,1000,0
RAIJINTEK CRATOS,94.9,0,1,850,0
Antec Earthwatts Green,108.11,0,3,500,3
Corsair G700,323.97,0,3,700,3
FSP Group FSP500-50FSPT,198.99,1,2,500,3
Thermaltake TOUGHPOWER PF1 ARGB,251.99,0,2,850,0
SeaSonic PRIME Ultra Gold 750,169.99,0,1,750,0
Corsair TX750 V2,335.0,0,0,750,3
Corsair AX650,250.0,0,1,650,0
Thermaltake Toughpower GX1 500,74.45,0,1,500,3
Thermaltake Toughpower iRGB PLUS 750,189.19,0,1,750,0
Corsair G800,319.89,0,3,800,3
EVGA SuperNOVA G FTW,154.99,0,1,850,0
In Win P75,129.94,0,1,750,0
EVGA SuperNOVA 750 PQ,218.49,0,2,750,2
SeaSonic PRIME Ultra Gold 850,195.98,0,1,850,0
SeaSonic SS-300ES Bronze,104.44,0,0,300,3
Super Flower Leadex V Platinum Pro,209.99,0,2,1000,0
Silverstone ST85F-GS-V2,128.33,0,1,850,0
Rosewill VALENS-600,140.0,0,1,600,3
Super Flower Leadex V Pro,189.99,0,1,1000,0
PC Power & Cooling Silencer,210.62,0,2,1050,0
In Win PB,150.0,0,1,750,0
In Win P65,124.0,0,1,650,0
In Win P130II,245.2,0,2,1300,0
Thermaltake Smart,196.8,0,0,750,2
Super Flower LEADEX VII Platinum PRO,199.99,0,2,850,0
In Win P105II,185.07,0,2,1050,0
Antec True Power,230.81,0,0,850,0
Antec Basiq,79.98,0,6,350,3
Thermaltake Toughpower PF1 - TT Premium Edition,314.79,0,2,1050,0
Thermaltake Toughpower iRGB PLUS 850,285.0,0,1,850,0
Thermaltake Toughpower Grand RGB Platinum,289.95,0,2,850,0
Thermaltake TOUGHPOWER PF1 ARGB,419.64,0,2,1200,0
Sparkle ATX-350PN-B204,57.99,0,6,350,3
Super Flower Leadex Gold,299.99,0,1,1300,0
Super Flower Leadex VI Platinum PRO,179.99,0,2,850,0
Thermaltake Toughpower GF2 ARGB,199.22,0,1,850,0
Super Flower Leadex III ARGB Pro,164.99,0,1,750,0
In Win P85,144.18,0,1,850,0
Rosewill Green,80.0,0,3,430,3
Rosewill PMG750,120.0,0,1,750,0
Cougar VTE X2,74.99,0,3,750,3
Thermaltake Toughpower iRGB PLUS,567.09,0,5,1250,0
Chieftec Polaris,209.39,0,1,1050,0
In Win IP-S300FF1-0,62.5,4,3,300,3
Rosewill Capstone,269.0,0,1,750,3
Cougar GEX X2,211.61,0,1,1000,0
YEYIAN Raiden RGB,69.98,0,0,650,3
SeaSonic PRIME Ultra Platinum 850,359.99,0,2,850,0
Enermax MaxTytan,299.99,0,5,1050,0
EVGA SuperNOVA 850 GA,350.0,0,1,850,0
Athena Power AP-MFATX50P8,179.99,1,4,500,3
Corsair TX850 V2,599.98,0,0,850,3
Fractal Design Anode Bronze,146.68,0,0,550,2
PC Power & Cooling Silencer,298.98,0,2,1200,0
Antec Earthwatts Green,104.64,0,0,430,3
Chieftec Polaris 3.0,229.29,0,1,1050,0
Thermaltake Toughpower DPS G RGB,425.31,0,5,1250,0
SeaSonic SS-850HT Silver,169.0,0,4,850,3
SeaSonic SS-400ET Bronze,91.33,0,0,400,3
Kingwin ABT-1050MM,89.99,0,6,1050,3
Corsair TX750 V2,335.0,0,0,750,3
Rosewill Green,170.0,0,3,530,3
FSP Group Hydro GE,99.99,0,1,650,0
Antec Earthwatts,124.98,0,0,500,3
Sparkle ATX-300PA,187.99,0,6,300,3
Super Flower Leadex III ARGB Pro,189.99,0,1,650,0
Thermaltake Toughpower iRGB PLUS 850 Platinum,328.91,0,2,850,0
LEPA MaxBron,102.15,0,0,1000,2
SeaSonic SS-600ES,102.15,0,0,600,3
Enermax Revolution D.F. X,249.99,0,1,1350,0
FSP Group FSP300-60LG-5K,153.74,1,0,300,3
Super Flower Leadex V Pro,199.99,0,1,850,0
SeaSonic Platinum,128.01,0,0,600,3
iStarUSA TC-1200PD8G,310.99,0,6,1200,0
Apex AL-A400ATX,94.41,0,6,400,3
Chieftec Polaris 3.0,199.29,0,1,850,0
Enermax PlatiGemini,249.99,0,2,1200,0
