Nombre,Precio,Tipo,Eficiencia,Vatios,Modulo
Deepcool PM750D,82.99,0,1,750,3
be quiet! Dark Power Pro 13,369.9,0,5,1300,0
EVGA SuperNOVA 750 P5,99.99,0,2,750,0
Thermaltake Toughpower GF3 TT Premium,289.99,0,1,1650,0
Thermaltake Toughpower GF3 Snow,234.98,0,1,1200,0
Thermaltake Toughpower GF A3 - TT Premium Edition,104.0,0,1,850,0
CoolMax I-500,26.68,0,6,500,3
MSI MPG A750GF WHITE,254.01,0,1,750,0
EVGA 650 GQ,126.48,0,1,650,2
PowerSpec PS 650BF,54.99,0,0,650,3
Sparkle FSP350-60GNV,69.99,3,6,350,3
SeaSonic VERTEX GX-1200,217.78,0,1,1200,0
be quiet! Pure Power 12 M,99.9,0,1,650,0
Vetroo GV1000,129.99,0,1,1000,0
PowerSpec PS 750BSM,69.98,0,0,750,2
Cooler Master V SFX Platinum,223.99,3,2,1100,0
be quiet! SFX L Power,130.53,3,1,600,0
SeaSonic PRIME TX,663.53,0,5,1600,0
Cooler Master MWE Gold V2 ATX3.0,129.99,0,1,1250,0
SeaSonic FOCUS Plus Platinum,157.72,0,2,750,0
Thermaltake Toughpower GF3 TT Premium,154.99,0,1,1000,0
Gigabyte P850GM,129.99,0,1,850,0
GameMax GX Pro Rampage,109.99,0,1,850,0
Gigabyte P550B,78.98,0,0,550,3
EVGA 650 B5,84.99,0,0,650,0
EVGA 700 BR,74.99,0,0,700,3
EVGA SuperNOVA 1000G XC,149.99,0,1,1000,0
EVGA SuperNOVA 850 GM,159.99,3,1,850,0
Corsair RM750x (2018),169.97,0,1,750,0
Super Flower Leadex III Gold,105.62,0,1,750,0
Thermaltake TR2,57.31,0,6,500,3
Montech TITAN GOLD 1000W,137.99,0,1,1000,0
Thermaltake Toughpower GF1 PE,109.99,0,1,850,0
SeaSonic S12III,63.99,0,0,500,3
Corsair SF600,225.0,3,2,600,0
Corsair RM750x SHIFT,89.99,0,1,750,1
be quiet! Pure Power 12 M,143.99,0,1,550,0
SeaSonic FOCUS SGX (2021),119.99,3,1,750,0
Thermaltake Smart BX1,74.98,0,0,750,3
Asus TUF Gaming 750G,109.99,0,1,750,0
be quiet! System Power 10,157.31,0,0,750,3
GameMax GX Pro Rampage,85.99,0,1,850,0
Deepcool PM850D,87.98,0,1,850,3
Deepcool PQ1000M,135.99,0,1,1000,0
Corsair RM850x (2018),182.0,0,1,850,0
ADATA XPG CORE Reactor 650,84.99,0,1,650,0
MSI MEG Ai1000P PCIE5,251.0,0,2,1000,0
Deepcool PX1000G WH,160.98,0,1,1000,0
SeaSonic FOCUS Plus Platinum,173.99,0,2,850,0
Thermaltake Smart BM3,89.99,0,0,850,2
Thermaltake Toughpower GF A3 - TT Premium Edition,134.99,0,1,1050,0
SeaSonic FOCUS GX,169.99,0,1,1000,0
EVGA 850 BQ,99.99,0,0,850,2
Asus ROG LOKI,241.99,3,2,1000,0
Corsair RM650x (2018),119.99,0,1,650,0
SeaSonic G12 GC,109.69,0,1,650,3
SeaSonic FOCUS GX-750 ATX 3.0,109.99,0,1,750,0
Thermaltake Toughpower GF A3 - TT Premium Edition,94.99,0,1,750,0
be quiet! System Power 10,193.92,0,1,850,3
Silverstone SFX,217.98,3,5,800,0
MSI MPG A1000G,299.99,0,1,1000,0
Silverstone SX500-G,107.99,3,1,500,0
EVGA GE,156.82,0,1,800,3
Cooler Master V SFX Gold ATX 3.0,130.99,3,1,850,0
be quiet! Dark Power 13,189.9,0,5,750,0
Corsair HX1000 Platinum,375.0,0,2,1000,0
Asus ROG Strix,119.99,0,1,750,0
be quiet! System Power 10,155.34,0,0,550,3
SeaSonic S12III,69.0,0,0,650,3
EVGA 750 GQ,103.95,0,1,750,2
ADATA XPG CORE Reactor 750,89.99,0,1,750,0
Gigabyte UD1000GM PG5 (rev. 2.0),119.99,0,1,1000,0
SeaSonic VERTEX PX-1200,329.99,0,2,1200,0
Thermaltake Toughpower GF3 TT Premium,104.99,0,1,750,0
GameMax GX Pro Rampage,159.99,0,2,1050,0
GameMax RGB Rainbow,99.99,0,1,850,0
be quiet! SFX Power 3 450,100.49,3,0,450,3
EVGA SuperNOVA 1300 GT,249.99,0,1,1300,0
Asus ROG-STRIX-850G,146.19,0,1,850,0
SeaSonic VERTEX GX-1000,189.99,0,1,1000,0
EVGA SuperNOVA 850 G5,134.99,0,1,850,0
SeaSonic PRIME TX-1300 ATX 3.0,516.98,0,5,1300,0
Thermaltake Toughpower GF3 TT Premium,114.99,0,1,850,0
Super Flower Leadex Platinum SE,144.99,0,2,1000,0
Corsair RM850x,180.94,0,1,850,0
be quiet! Straight Power 12,139.9,0,2,750,0
SeaSonic FOCUS Plus Gold,159.99,0,1,1000,0
Asus ROG LOKI,215.61,3,2,850,0
Asus ROG Strix Aura Edition,208.67,0,1,1000,0
Corsair AX1200i,657.73,0,2,1200,0
Thermaltake Toughpower GF A3 - TT Premium Edition,153.0,0,1,1200,0
be quiet! SFX L Power,178.93,3,1,500,0
EVGA 500 GD,101.49,0,1,500,3
EVGA SuperNOVA 850G XC,125.34,0,1,850,0
Corsair HX1000i,401.0,0,2,1000,0
Corsair RM850,197.88,0,1,850,0
Silverstone SFX,73.98,3,0,300,3
be quiet! Straight Power 12,249.9,0,2,1500,0
Asus ROG LOKI,212.89,3,2,850,0
Silverstone FX600 Platinum,178.99,1,6,600,3
Thermaltake Smart BX1 650,59.99,0,0,650,3
SeaSonic PRIME Ultra Titanium,309.99,0,5,1000,0
SeaSonic FOCUS GX,148.09,0,1,650,0
SeaSonic FOCUS PX,173.99,0,2,850,0
Asus Prime AP-850G,129.99,0,1,850,0
Silverstone SX1000-LPT,266.95,3,2,1000,0
EVGA SuperNOVA 1600 G2,479.0,0,1,1600,0
Asus ROG Strix Aura Edition,239.99,0,1,1200,0
be quiet! Pure Power 12 M,149.9,0,1,1200,0
EVGA 650 BQ,84.99,0,0,650,2
FSP Group Hydro GE,89.99,0,1,550,0
EVGA SuperNOVA 1000 G5,159.99,0,1,1000,0
EVGA 600 BQ,149.99,0,0,600,2
Corsair SF450,300.02,3,2,450,0
Corsair RM650 (2019),210.09,0,1,650,0
Silverstone HELA 1200R,234.84,0,2,1200,0
Corsair HX1500i (2022),367.0,0,2,1500,0
EVGA SuperNOVA 1000 G+,341.99,0,1,1000,0
Phanteks Revolt SFX,199.99,3,2,850,0
PowerSpec PS 650GSM,74.98,0,1,650,2
EVGA SuperNOVA 750 G3,250.0,0,1,750,0
EVGA 850 B5,110.09,0,0,850,0
Corsair HX850 Platinum,359.99,0,2,850,0
SeaSonic VERTEX PX-1000,279.99,0,2,1000,0
Thermaltake TR2,49.99,0,0,450,3
be quiet! Straight Power 11 750W,161.43,0,1,750,0
Corsair CX650M,199.99,0,0,650,2
Corsair SF600,220.0,3,1,600,0
Fractal Design Ion Gold,121.93,0,1,550,0
Corsair RM750,195.99,0,1,750,0
Apevia Signature,68.98,0,0,1050,2
EVGA 750 B5,99.99,0,0,750,0
Azza PSAZ-650W,59.99,0,0,650,3
EVGA 550 BP,64.98,0,0,550,3
Aerocool LUX RGB 750M (230V EU),173.22,0,0,750,2
Asus ROG THOR 850P,349.99,0,2,850,0
Super Flower Leadex Platinum SE,159.99,0,2,1200,0
EVGA 750 N1,77.26,0,6,750,3
Super Flower Leadex III Gold,119.99,0,1,850,0
Corsair AX1500i,749.0,0,5,1500,0
SeaSonic PRIME TX-1600 ATX 3.0,596.83,0,5,1600,0
SeaSonic PRIME TX,439.99,0,5,1300,0
EVGA 850 GQ,186.17,0,1,850,2
be quiet! Pure Power 9 CM,153.84,0,0,600,2
Silverstone FX350-G,99.99,1,1,350,3
Athena Power AP-MTFX30,36.99,4,6,300,3
Apevia Galaxy,79.98,0,1,1000,2
Corsair CX650 (2017),148.97,0,0,650,3
G.Skill MB750G,84.99,0,1,750,0
SeaSonic FOCUS,155.41,0,1,850,2
Corsair CX450M (2015),136.77,0,0,450,2
EVGA 650 N1,66.8,0,6,650,3
Cooler Master Elite 400 V3,63.49,0,3,400,3
Thermaltake Toughpower GF A3 - TT Premium Edition,90.99,0,1,650,0
Thermaltake Toughpower GX3,89.99,0,1,850,3
CoolMax ZX-500,39.99,0,3,500,3
Asus ROG THOR P2 Gaming EVA Edition,596.0,0,2,1000,0
be quiet! System Power 9 CM,157.81,0,0,400,2
Corsair CX550M,192.0,0,0,550,2
Silverstone SFX,95.38,3,0,450,3
SeaSonic PRIME PX-1600 ATX 3.0,469.99,0,2,1600,0
Corsair CX750 (2017),94.99,0,0,750,3
be quiet! Pure Power 11 600,127.29,0,1,600,3
Silverstone Essential,65.64,0,1,550,3
Silverstone Extreme 850R Platinum,201.73,3,2,850,0
Super Flower Leadex Platinum SE,139.99,0,2,1000,0
SeaSonic FOCUS Gold,79.98,0,1,550,2
Corsair HX1200i,599.0,0,2,1200,0
Corsair CX600,237.48,0,0,600,3
EVGA SuperNOVA 650 G3,172.49,0,1,650,0
Fractal Design Ion Gold,238.55,0,1,850,0
Corsair TX550M Gold,237.47,0,1,550,2
NZXT C650,89.53,0,0,650,2
EVGA SuperNOVA 650 G5,109.99,0,1,650,0
Thermaltake Thermaltake TP-750M,79.98,0,1,750,2
Corsair CX500M,180.76,0,0,500,2
